anime_id,title,title_english
16498,Shingeki no Kyojin,Attack on Titan
1535,Death Note,Death Note
5114,Fullmetal Alchemist: Brotherhood,Fullmetal Alchemist: Brotherhood
30276,One Punch Man,One-Punch Man
38000,Kimetsu no Yaiba,Demon Slayer: Kimetsu no Yaiba
31964,Boku no Hero Academia,My Hero Academia
11757,Sword Art Online,Sword Art Online
11061,Hunter x Hunter (2011),Hunter x Hunter
20,Naruto,Naruto
22319,Tokyo Ghoul,Tokyo Ghoul
32281,Kimi no Na wa.,Your Name.
40748,Jujutsu Kaisen,Jujutsu Kaisen
25777,Shingeki no Kyojin Season 2,Attack on Titan Season 2
9253,Steins;Gate,Steins;Gate
1735,Naruto: Shippuuden,Naruto Shippuden
33486,Boku no Hero Academia 2nd Season,My Hero Academia Season 2
21,One Piece,One Piece
35760,Shingeki no Kyojin Season 3,Attack on Titan Season 3
28851,Koe no Katachi,A Silent Voice
38524,Shingeki no Kyojin Season 3 Part 2,Attack on Titan Season 3 Part 2
19815,No Game No Life,"No Game, No Life"
1575,Code Geass: Hangyaku no Lelouch,Code Geass: Lelouch of the Rebellion
31240,Re:Zero kara Hajimeru Isekai Seikatsu,Re:ZERO -Starting Life in Another World-
23273,Shigatsu wa Kimi no Uso,Your Lie in April
36456,Boku no Hero Academia 3rd Season,My Hero Academia Season 3
4224,Toradora!,Toradora!
32182,Mob Psycho 100,Mob Psycho 100
20507,Noragami,Noragami
31043,Boku dake ga Inai Machi,Erased
40028,Shingeki no Kyojin: The Final Season,Attack on Titan: Final Season
22199,Akame ga Kill!,Akame ga Kill!
24833,Ansatsu Kyoushitsu,Assassination Classroom
23755,Nanatsu no Taizai,The Seven Deadly Sins
269,Bleach,Bleach
6547,Angel Beats!,Angel Beats!
20583,Haikyuu!!,Haikyu!!
37779,Yakusoku no Neverland,The Promised Neverland
30831,Kono Subarashii Sekai ni Shukufuku wo!,KonoSuba: God's Blessing on This Wonderful World!
10620,Mirai Nikki (TV),The Future Diary
21881,Sword Art Online II,Sword Art Online II
1,Cowboy Bebop,Cowboy Bebop
9919,Ao no Exorcist,Blue Exorcist
22535,Kiseijuu: Sei no Kakuritsu,Parasyte: The Maxim
199,Sen to Chihiro no Kamikakushi,Spirited Away
30,Shinseiki Evangelion,Neon Genesis Evangelion
33352,Violet Evergarden,Violet Evergarden
37450,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,Rascal Does Not Dream of Bunny Girl Senpai
38691,Dr. Stone,Dr. Stone
44511,Chainsaw Man,Chainsaw Man
2904,Code Geass: Hangyaku no Lelouch R2,Code Geass: Lelouch of the Rebellion R2
37999,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,Kaguya-sama: Love is War
28223,Death Parade,Death Parade
38408,Boku no Hero Academia 4th Season,My Hero Academia Season 4
27899,Tokyo Ghoul √A,Tokyo Ghoul √A
34572,Black Clover,Black Clover
50265,Spy x Family,
34134,One Punch Man 2nd Season,One-Punch Man Season 2
14719,JoJo no Kimyou na Bouken (TV),JoJo's Bizarre Adventure (2012)
18679,Kill la Kill,Kill la Kill
6702,Fairy Tail,Fairy Tail
37521,Vinland Saga,
35849,Darling in the FranXX,DARLING in the FRANXX
11111,Another,Another
40456,Kimetsu no Yaiba Movie: Mugen Ressha-hen,Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train
3588,Soul Eater,Soul Eater
2001,Tengen Toppa Gurren Lagann,Gurren Lagann
35790,Tate no Yuusha no Nariagari,The Rising of the Shield Hero
28999,Charlotte,Charlotte
29803,Overlord,Overlord
13601,Psycho-Pass,Psycho-Pass
28171,Shokugeki no Souma,Food Wars! Shokugeki no Soma
47778,Kimetsu no Yaiba: Yuukaku-hen,Demon Slayer: Kimetsu no Yaiba Entertainment District Arc
37510,Mob Psycho 100 II,Mob Psycho 100 II
9989,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,Anohana: The Flower We Saw That Day
15809,Hataraku Maou-sama!,The Devil is a Part-Timer!
28121,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,Is It Wrong to Try to Pick Up Girls in a Dungeon?
32937,Kono Subarashii Sekai ni Shukufuku wo! 2,KonoSuba: God's Blessing on This Wonderful World! 2
37430,Tensei shitara Slime Datta Ken,That Time I Got Reincarnated as a Slime
42897,Horimiya,Horimiya
34933,Kakegurui,Kakegurui
226,Elfen Lied,Elfen Lied
8074,Highschool of the Dead,High School of the Dead
10087,Fate/Zero,Fate/Zero
39535,Mushoku Tensei: Isekai Ittara Honki Dasu,Mushoku Tensei: Jobless Reincarnation
30654,Ansatsu Kyoushitsu 2nd Season,Assassination Classroom Second Season
14813,Yahari Ore no Seishun Love Comedy wa Machigatteiru.,My Teen Romantic Comedy SNAFU
28891,Haikyuu!! Second Season,Haikyu!! 2nd Season
121,Fullmetal Alchemist,Fullmetal Alchemist
30503,Noragami Aragoto,Noragami Aragoto
48583,Shingeki no Kyojin: The Final Season Part 2,Attack on Titan: Final Season Part 2
31478,Bungou Stray Dogs,Bungo Stray Dogs
34599,Made in Abyss,Made in Abyss
38671,Enen no Shouboutai,Fire Force
11617,High School DxD,High School DxD
2167,Clannad,Clannad
40591,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,Kaguya-sama: Love is War?
6746,Durarara!!,Durarara!!
5081,Bakemonogatari,Bakemonogatari
431,Howl no Ugoku Shiro,Howl's Moving Castle
12189,Hyouka,Hyouka
14741,Chuunibyou demo Koi ga Shitai!,"Love, Chunibyo & Other Delusions!"
35507,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e,Classroom of the Elite
26243,Owari no Seraph,Seraph of the End: Vampire Reign
52991,Sousou no Frieren,Frieren: Beyond Journey's End
9756,Mahou Shoujo Madoka★Magica,Puella Magi Madoka Magica
42249,Tokyo Revengers,Tokyo Revengers
51009,Jujutsu Kaisen 2nd Season,Jujutsu Kaisen Season 2
164,Mononoke Hime,Princess Mononoke
37520,Dororo,Dororo
20899,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,JoJo's Bizarre Adventure: Stardust Crusaders
41587,Boku no Hero Academia 5th Season,My Hero Academia Season 5
205,Samurai Champloo,Samurai Champloo
7054,Kaichou wa Maid-sama!,Maid Sama!
33206,Kobayashi-san Chi no Maid Dragon,Miss Kobayashi's Dragon Maid
32935,Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,Haikyu!! 3rd Season
813,Dragon Ball Z,Dragon Ball Z
19,Monster,Monster
13759,Sakura-sou no Pet na Kanojo,The Pet Girl of Sakurasou
6880,Deadman Wonderland,Deadman Wonderland
48736,Sono Bisque Doll wa Koi wo Suru,My Dress-Up Darling
11771,Kuroko no Basket,Kuroko's Basketball
36511,Tokyo Ghoul:re,Tokyo Ghoul:re
4181,Clannad: After Story,Clannad: After Story
23283,Zankyou no Terror,Terror in Resonance
10793,Guilty Crown,Guilty Crown
39587,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,Re:ZERO -Starting Life in Another World- Season 2
35120,Devilman: Crybaby,Devilman: Crybaby
4898,Kuroshitsuji,Black Butler
31933,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,JoJo's Bizarre Adventure: Diamond Is Unbreakable
48561,Jujutsu Kaisen 0 Movie,Jujutsu Kaisen 0
33255,Saiki Kusuo no Ψ-nan,The Disastrous Life of Saiki K.
26055,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders - Egypt-hen,JoJo's Bizarre Adventure: Stardust Crusaders - Battle in Egypt
18897,Nisekoi,Nisekoi: False Love
18153,Kyoukai no Kanata,Beyond the Boundary
37349,Goblin Slayer,Goblin Slayer
853,Ouran Koukou Host Club,Ouran High School Host Club
34577,Nanatsu no Taizai: Imashime no Fukkatsu,The Seven Deadly Sins: Revival of the Commandments
32282,Shokugeki no Souma: Ni no Sara,Food Wars! The Second Plate
40852,Dr. Stone: Stone Wars,
11741,Fate/Zero 2nd Season,Fate/Zero Season 2
17265,Log Horizon,Log Horizon
22297,Fate/stay night: Unlimited Blade Works,Fate/stay night [Unlimited Blade Works]
14227,Tonari no Kaibutsu-kun,My Little Monster
37991,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,JoJo's Bizarre Adventure: Golden Wind
523,Tonari no Totoro,My Neighbor Totoro
23847,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,My Teen Romantic Comedy SNAFU TOO!
918,Gintama,Gintama
20785,Mahouka Koukou no Rettousei,The Irregular at Magic High School
36474,Sword Art Online: Alicization,Sword Art Online: Alicization
30015,ReLIFE,ReLIFE
223,Dragon Ball,Dragon Ball
17895,Golden Time,Golden Time
50602,Spy x Family Part 2,
35073,Overlord II,Overlord II
52299,Ore dake Level Up na Ken,Solo Leveling
5680,K-On!,K-ON!
38826,Tenki no Ko,Weathering with You
14513,Magi: The Labyrinth of Magic,Magi: The Labyrinth of Magic
45576,Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,Mushoku Tensei: Jobless Reincarnation Part 2
15583,Date A Live,Date A Live
36098,Kimi no Suizou wo Tabetai,I Want To Eat Your Pancreas
39551,Tensei shitara Slime Datta Ken 2nd Season,That Time I Got Reincarnated as a Slime Season 2
889,Black Lagoon,Black Lagoon
51019,Kimetsu no Yaiba: Katanakaji no Sato-hen,Demon Slayer: Kimetsu no Yaiba Swordsmith Village Arc
43608,Kaguya-sama wa Kokurasetai: Ultra Romantic,Kaguya-sama: Love is War -Ultra Romantic-
35968,Wotaku ni Koi wa Muzukashii,Wotakoi: Love is Hard for Otaku
30240,Prison School,Prison School
40839,"Kanojo, Okarishimasu",Rent-a-Girlfriend
22043,Fairy Tail (2014),Fairy Tail Series 2
6045,Kimi ni Todoke,Kimi ni Todoke: From Me to You
40221,Kami no Tou,Tower of God
38101,5-toubun no Hanayome,The Quintessential Quintuplets
42203,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,Re:ZERO -Starting Life in Another World- Season 2 Part 2
38883,Haikyuu!! To the Top,Haikyu!! To the Top
42310,Cyberpunk: Edgerunners,
52034,[Oshi no Ko],[Oshi No Ko]
35788,Shokugeki no Souma: San no Sara,Food Wars! The Third Plate
32615,Youjo Senki,Saga of Tanya the Evil
32,"Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni",Neon Genesis Evangelion: The End of Evangelion
30296,Rakudai Kishi no Cavalry,Chivalry of a Failed Knight
27775,Plastic Memories,Plastic Memories
777,Hellsing Ultimate,Hellsing Ultimate
35062,Mahoutsukai no Yome,The Ancient Magus' Bride
1689,Byousoku 5 Centimeter,5 Centimeters per Second
21995,Ao Haru Ride,Blue Spring Ride
48926,"Komi-san wa, Comyushou desu.",Komi Can't Communicate
37675,Overlord III,Overlord III
16592,Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation,Danganronpa: The Animation
2025,Darker than Black: Kuro no Keiyakusha,Darker than Black
356,Fate/stay night,Fate/stay night
41353,The God of High School,The God of High School
39617,Yakusoku no Neverland 2nd Season,The Promised Neverland Season 2
23289,Gekkan Shoujo Nozaki-kun,Monthly Girls' Nozaki-kun
41025,Fumetsu no Anata e,To Your Eternity
37799,Tokyo Ghoul:re 2nd Season,Tokyo Ghoul:re 2nd Season
10165,Nichijou,Nichijou - My Ordinary Life
849,Suzumiya Haruhi no Yuuutsu,The Melancholy of Haruhi Suzumiya
49926,Kimetsu no Yaiba: Mugen Ressha-hen,Demon Slayer: Kimetsu no Yaiba Mugen Train Arc
33487,Masamune-kun no Revenge,Masamune-kun's Revenge
15451,High School DxD New,High School DxD New
20787,Black Bullet,Black Bullet
41457,86,86 Eighty-Six
36649,Banana Fish,Banana Fish
57334,Dandadan,Dan Da Dan
2251,Baccano!,Baccano!
39195,Beastars,
30484,Steins;Gate 0,Steins;Gate 0
47,Akira,Akira
32995,Yuri!!! on Ice,Yuri!!! On Ice
32867,Bungou Stray Dogs 2nd Season,Bungo Stray Dogs 2
33674,No Game No Life: Zero,"No Game, No Life: Zero"
46569,Jigokuraku,Hell's Paradise
24439,Kekkai Sensen,Blood Blockade Battlefront
38680,Fruits Basket 1st Season,Fruits Basket 1st Season
25013,Akatsuki no Yona,Yona of the Dawn
16782,Kotonoha no Niwa,The Garden of Words
34566,Boruto: Naruto Next Generations,Boruto: Naruto Next Generations
16894,Kuroko no Basket 2nd Season,Kuroko's Basketball 2
40776,Haikyuu!! To the Top Part 2,Haikyu!! To the Top 2nd-cour
28701,Fate/stay night: Unlimited Blade Works 2nd Season,Fate/stay night [Unlimited Blade Works] Season 2
245,Great Teacher Onizuka,Great Teacher Onizuka
40956,Enen no Shouboutai: Ni no Shou,Fire Force Season 2
30694,Dragon Ball Super,Dragon Ball Super
14345,Btooom!,BTOOOM!
41487,Tensei shitara Slime Datta Ken 2nd Season Part 2,That Time I Got Reincarnated as a Slime Season 2 Part 2
457,Mushishi,Mushi-Shi
37347,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II,Is It Wrong to Try to Pick Up Girls in a Dungeon? II
37105,Grand Blue,Grand Blue Dreaming
40496,"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou",The Misfit of Demon King Academy
25157,Trinity Seven,Trinity Seven
32729,Orange,Orange
18115,Magi: The Kingdom of Magic,Magi: The Kingdom of Magic
339,Serial Experiments Lain,Serial Experiments Lain
227,FLCL,FLCL
49596,Blue Lock,Blue Lock
11887,Kokoro Connect,Kokoro Connect
42361,"Ijiranaide, Nagatoro-san","Don't Toy with Me, Miss Nagatoro"
28907,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri",GATE
11843,Danshi Koukousei no Nichijou,Daily Lives of High School Boys
38040,Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,KonoSuba: God's Blessing on This Wonderful World! - Legend of Crimson
28623,Koutetsujou no Kabaneri,Kabaneri of the Iron Fortress
10408,Hotarubi no Mori e,Into the Forest of Fireflies' Light
